               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12988,             0.12893,                   0,           0.0052083,            0.013543,           0.0033009,          0.00066077,             0.12944,             0.12799,                   0,              0.0901,              0.0011,              0.0011
                   1,             0.12489,             0.14162,                   0,            0.018958,            0.049296,             0.01069,           0.0022295,             0.12361,             0.12273,                   0,            0.079186,           0.0021861,           0.0021861
                   2,             0.12011,             0.13245,                   0,            0.074628,            0.072589,                0.03,           0.0080493,             0.11856,             0.14291,                   0,            0.068154,           0.0031535,           0.0031535
                   3,             0.11269,             0.12827,                   0,            0.097526,            0.094132,            0.043136,            0.010883,             0.11157,             0.13944,                   0,            0.057002,           0.0040021,           0.0040021
                   4,             0.10426,             0.13388,                   0,             0.15741,             0.26056,             0.11212,            0.028373,             0.10345,             0.17269,                   0,            0.045732,           0.0047318,           0.0047318
                   5,            0.094859,             0.14334,                   0,             0.15835,             0.33532,              0.1412,            0.036936,              0.0982,             0.18113,                   0,            0.034343,           0.0053428,           0.0053428
                   6,            0.088515,             0.14885,                   0,             0.16354,             0.45341,             0.12947,            0.036391,            0.090996,             0.16962,                   0,            0.022835,           0.0058349,           0.0058349
                   7,            0.083787,              0.1531,                   0,             0.19071,             0.39762,             0.16784,            0.046351,            0.095382,             0.18576,                   0,            0.011208,           0.0062083,           0.0062083
                   8,            0.080868,             0.14706,                   0,             0.22821,             0.50975,             0.20432,            0.059097,            0.080972,             0.15661,                   0,             0.00604,             0.00604,             0.00604
                   9,             0.07607,             0.14612,                   0,             0.25105,             0.40087,             0.24046,             0.06919,            0.084814,             0.15923,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.076182,             0.16009,                   0,             0.36394,             0.47183,             0.35066,             0.10712,            0.073366,              0.1464,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.070192,             0.15498,                   0,             0.24752,             0.53196,             0.25123,             0.07843,            0.073502,             0.15252,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.069341,             0.15045,                   0,             0.50949,             0.57584,             0.50112,             0.17313,            0.067362,             0.14519,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.065745,             0.15391,                   0,             0.45764,             0.61268,             0.49669,             0.17812,            0.064057,              0.1476,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.064405,             0.15483,                   0,             0.56563,              0.6377,             0.60377,             0.22932,            0.062431,             0.14415,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.062099,              0.1507,                   0,             0.60765,             0.62405,             0.65023,             0.23995,             0.05845,             0.13975,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.059842,             0.15211,                   0,             0.62003,             0.68243,             0.67314,             0.25596,            0.057233,             0.14027,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.058842,             0.15153,                   0,             0.72583,             0.68695,             0.71981,             0.26589,            0.058146,             0.14002,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.058086,             0.15496,                   0,             0.74687,             0.73294,             0.76649,             0.29249,            0.054494,             0.13931,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.057665,             0.15791,                   0,             0.77672,             0.74106,             0.79835,             0.31977,            0.053487,             0.13907,                   0,             0.00109,             0.00109,             0.00109
